path	type	review_status	brief_notes	removal_candidate_tags	required_kept_tags	fantasy_usage	server_api_surface	configuration	tests_docs_build_release
internal/filetracker	directory	reviewed	Per-session file read tracking that must remain.		sessions-and-history	no	no	no	no
internal/format	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/fsext	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/history	directory	reviewed	Session history and file snapshot support that must remain.		sessions-and-history	no	no	no	no
internal/home	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/log	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/lsp	directory	reviewed	LSP integration or LSP-facing tool surface targeted for removal.	lsp		no	no	no	no
internal/lsp/util	directory	reviewed	LSP integration or LSP-facing tool surface targeted for removal.	lsp		no	no	no	no
internal/message	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/oauth	directory	reviewed	OAuth/provider-auth surface that must remain.		oauth-and-byok	no	no	no	no
internal/oauth/copilot	directory	reviewed	OAuth/provider-auth surface that must remain.		oauth-and-byok	no	no	no	no
internal/oauth/hyper	directory	reviewed	OAuth/provider-auth surface that must remain.		oauth-and-byok	no	no	no	no
internal/permission	directory	reviewed	Permission request flow and working-directory gate logic.	permission-gate		no	no	no	no
internal/projects	directory	reviewed	Workspace/project service surface supporting kept session and API behavior.		server-api	no	no	no	no
internal/proto	directory	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/pubsub	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/server	directory	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/session	directory	reviewed	Session persistence and state that must remain while todo support is removed.	todos	sessions-and-history	no	no	no	no
internal/shell	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/skills	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/skills/builtin	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/skills/builtin/crush-config	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/stringext	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/swagger	directory	reviewed	Generated Swagger/OpenAPI artifacts that must remain except for removed-feature endpoints.		server-api;swagger-docs	no	yes	no	no
internal/ui	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/anim	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/attachments	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/chat	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/common	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/completions	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/dialog	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/diffview	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/diffview/testdata	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/diffview/testdata/TestDiffView	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/CustomContextLines	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/Default	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/LargeWidth	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/MultipleHunks	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/Narrow	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/NoLineNumbers	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/NoSyntaxHighlight	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/SmallWidth	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/CustomContextLines	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/Default	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/LargeWidth	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/MultipleHunks	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/Narrow	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/NoLineNumbers	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/NoSyntaxHighlight	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/SmallWidth	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Split	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Unified	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewLineBreakIssue	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewTabs	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewWidth	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewWidth/Split	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewWidth/Unified	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewXOffset	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewXOffset/Split	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewXOffset/Unified	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewYOffset	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewYOffset/Split	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewYOffset/Unified	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewYOffsetInfinite	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewYOffsetInfinite/Split	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewYOffsetInfinite/Unified	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestUdiff	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestUdiff/ToUnifiedDiff	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestUdiff/ToUnifiedDiff/DefaultContextLines	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestUdiff/ToUnifiedDiff/DefaultContextLinesPlusOne	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestUdiff/ToUnifiedDiff/DefaultContextLinesPlusTwo	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/image	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/list	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/logo	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/model	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/notification	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/styles	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/util	directory	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/update	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/version	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/workspace	directory	reviewed	Workspace/project service surface supporting kept session and API behavior.		server-api	no	no	no	no
scripts	directory	reviewed	Build, lint, packaging, or repository tooling artifact.			no	no	no	yes
.gitattributes	file	reviewed	Build, lint, packaging, or repository tooling artifact.			no	no	no	yes
.github/CODEOWNERS	file	reviewed	GitHub automation, labels, and release workflow surface.			no	no	no	yes
.github/cla-signatures.json	file	reviewed	GitHub automation, labels, and release workflow surface.			no	no	no	yes
.github/dependabot.yml	file	reviewed	GitHub automation, labels, and release workflow surface.			no	no	no	yes
.github/entitlements.plist	file	reviewed	GitHub automation, labels, and release workflow surface.			no	no	no	yes
.github/labeler.yml	file	reviewed	GitHub automation, labels, and release workflow surface.			no	no	no	yes
.github/workflows/build.yml	file	reviewed	GitHub automation, labels, and release workflow surface. CI, release, schema, and security workflow definitions.			no	no	no	yes
.github/workflows/cla.yml	file	reviewed	GitHub automation, labels, and release workflow surface. CI, release, schema, and security workflow definitions.			no	no	no	yes
.github/workflows/labeler.yml	file	reviewed	GitHub automation, labels, and release workflow surface. CI, release, schema, and security workflow definitions.			no	no	no	yes
.github/workflows/lint-sync.yml	file	reviewed	GitHub automation, labels, and release workflow surface. CI, release, schema, and security workflow definitions.			no	no	no	yes
.github/workflows/lint.yml	file	reviewed	GitHub automation, labels, and release workflow surface. CI, release, schema, and security workflow definitions.			no	no	no	yes
.github/workflows/nightly.yml	file	reviewed	GitHub automation, labels, and release workflow surface. CI, release, schema, and security workflow definitions.			no	no	no	yes
.github/workflows/release.yml	file	reviewed	GitHub automation, labels, and release workflow surface. CI, release, schema, and security workflow definitions.			no	no	no	yes
.github/workflows/schema-update.yml	file	reviewed	GitHub automation, labels, and release workflow surface. CI, release, schema, and security workflow definitions.			no	no	no	yes
.github/workflows/security.yml	file	reviewed	GitHub automation, labels, and release workflow surface. CI, release, schema, and security workflow definitions.			no	no	no	yes
.github/workflows/snapshot.yml	file	reviewed	GitHub automation, labels, and release workflow surface. CI, release, schema, and security workflow definitions.			no	no	no	yes
.gitignore	file	reviewed	Build, lint, packaging, or repository tooling artifact.			no	no	no	yes
.golangci.yml	file	reviewed	Build, lint, packaging, or repository tooling artifact.			no	no	no	yes
.goreleaser.yml	file	reviewed	Build, lint, packaging, or repository tooling artifact.			no	no	no	yes
AGENTS.md	file	reviewed	Top-level documentation or repository policy file.			yes	no	no	yes
CLA.md	file	reviewed	Top-level documentation or repository policy file.			no	no	no	yes
LICENSE.md	file	reviewed	Top-level documentation or repository policy file.			no	no	no	yes
README.md	file	reviewed	Top-level documentation or repository policy file.			no	no	no	yes
Taskfile.yaml	file	reviewed	Build, lint, packaging, or repository tooling artifact.			yes	no	no	yes
crush.json	file	reviewed	Configuration example or generated schema surface.			no	no	yes	yes
go.mod	file	reviewed	Top-level dependency or entrypoint surface.			yes	no	no	yes
go.sum	file	reviewed	Top-level dependency or entrypoint surface.			yes	no	no	yes
internal/agent/.env.sample	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			no	no	no	no
internal/agent/agent.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			yes	no	no	no
internal/agent/agent_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			yes	no	no	yes
internal/agent/agent_tool.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Sub-agent or remote research tooling surface targeted for removal. Parallel tool execution touch point or fixture.	sub-agents;parallel-tools		yes	no	no	no
internal/agent/agentic_fetch_tool.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Sub-agent or remote research tooling surface targeted for removal. Parallel tool execution touch point or fixture.	sub-agents;parallel-tools		yes	no	no	no
internal/agent/common_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			yes	no	no	yes
internal/agent/coordinator.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			yes	no	no	no
internal/agent/coordinator_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			yes	no	no	yes
internal/agent/errors.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			no	no	no	no
internal/agent/event.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			yes	no	no	no
internal/agent/hyper/provider.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			yes	no	no	no
internal/agent/hyper/provider.json	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			yes	no	no	no
internal/agent/loop_detection.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			yes	no	no	no
internal/agent/loop_detection_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			yes	no	no	yes
internal/agent/notify/notify.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			no	no	no	no
internal/agent/prompt/prompt.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			no	no	no	no
internal/agent/prompts.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			no	no	no	no
internal/agent/templates/agent_tool.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Sub-agent or remote research tooling surface targeted for removal. Tool or prompt documentation artifact.	sub-agents		no	no	no	yes
internal/agent/templates/agentic_fetch.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Sub-agent or remote research tooling surface targeted for removal. Tool or prompt documentation artifact.	sub-agents		no	no	no	yes
internal/agent/templates/agentic_fetch_prompt.md.tpl	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Sub-agent or remote research tooling surface targeted for removal. Tool or prompt documentation artifact.	sub-agents		no	no	no	yes
internal/agent/templates/coder.md.tpl	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/templates/initialize.md.tpl	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/templates/summary.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/templates/task.md.tpl	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/templates/title.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/bash_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/download_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/fetch_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/glob_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/grep_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/ls_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/multiedit_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/parallel_tool_calls.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Parallel tool execution touch point or fixture.	parallel-tools		no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/read_a_file.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/simple_test.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/sourcegraph_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/update_a_file.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet/write_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/bash_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/download_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/fetch_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/glob_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/grep_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/ls_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/multiedit_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/parallel_tool_calls.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Parallel tool execution touch point or fixture.	parallel-tools		no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/read_a_file.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/simple_test.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/sourcegraph_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/update_a_file.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5/write_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/bash_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/download_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/fetch_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/glob_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/grep_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/ls_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
